x_left,y_left,z_left,x_right,y_right,z_right,x_center,y_center,z_center,lon_center,lat_center
-270.364221637794,503.350633341359,0,-285.359342527505,502.968076805763,0,-277.861862833078,503.15935301345,0.334876175133691,-86.2388746873349,39.7926458311382
-270.18742696952,496.414723193464,0,-285.182566635746,496.032903353238,0,-277.685095848987,496.223810751343,0.334874633106826,-86.2388726182047,39.7925834485165
-270.011009204291,489.476506305241,0,-285.00617799279,489.09583189785,0,-277.508707885945,489.286166200192,0.334878053074678,-86.238870553511,39.7925210469855
-269.835174629694,482.536639591593,0,-284.830382797636,482.157519557741,0,-277.332907051167,482.347076329943,0.334873483666288,-86.23886849569,39.7924586324543
-269.660124225499,475.59556845113,0,-284.655381905715,475.218411847159,0,-277.157895422267,475.406986568629,0.334867900542468,-86.2388664471069,39.7923962089296
-269.486055338787,468.653594286397,0,-284.481372504954,468.278810233816,0,-276.983870561973,468.466198345137,0.334864250436879,-86.2388644100744,39.7923337791224
-269.313162882869,461.710922371281,0,-284.308549315256,461.338920028037,0,-276.811027143021,461.524916956437,0.334862235376806,-86.2388623868711,39.7922713448794
-269.141640111147,454.767692526614,0,-284.137105362704,454.398881071582,0,-276.639558206669,454.583282237495,0.334860865388882,-86.2388603797567,39.7922089074583
-268.971679140281,447.823999701096,0,-283.967232502923,447.458788326481,0,-276.469655714116,447.641389145478,0.334859801788066,-86.2388583909782,39.7921464677133
-268.803471310292,440.879908042222,0,-283.799121781311,440.518705950527,0,-276.301510854971,440.699301834283,0.334858986134935,-86.2388564227735,39.7920840262213
-268.637207433124,433.935460552253,0,-283.632963681652,433.578676955772,0,-276.13531427876,433.757063312204,0.334858372587712,-86.2388544773743,39.7920215833692
-268.47307796448,426.990685733558,0,-283.468948297997,426.638729855144,0,-275.971256263851,426.814702087983,0.334857901435239,-86.2388525570077,39.7919591394135
-268.311273122619,420.045602167283,0,-283.307265453459,419.698883241657,0,-275.809526832213,419.87223674985,0.334857524432196,-86.2388506638983,39.7918966945213
-268.151982970406,413.100221671062,0,-283.148104782273,412.759148946215,0,-275.650315834144,412.929679123213,0.334857210686182,-86.2388488002681,39.791834248799
-267.995397471929,406.154551478651,0,-282.991655786404,405.819534217105,0,-275.493813000851,405.987036450318,0.334856940593668,-86.2388469683381,39.7917718023117
-267.841706531491,399.208595746112,0,-282.838107874529,398.880043225889,0,-275.340207990584,399.044312896119,0.334856700912207,-86.2388451703283,39.791709355097
-267.69110002038,392.262356594108,0,-282.687650388796,391.940678109344,0,-275.18969040744,392.101510590573,0.334856482154384,-86.2388434084581,39.7916469071739
-267.543767795162,385.315834830753,0,-282.540472623112,385.001439691919,0,-275.042449829289,385.158630351086,0.33485627786958,-86.2388416849466,39.7915844585498
-267.399899710088,378.36903045439,0,-282.396763835537,378.062327988089,0,-274.898675809271,378.215672185314,0.334856083426596,-86.2388400020126,39.7915220092248
-267.259685625387,371.421943004839,0,-282.256713256564,371.123342553186,0,-274.758557895617,371.27263564195,0.334855895864151,-86.2388383618748,39.7914595591948
-267.12331541267,364.474571810216,0,-282.120510094523,364.184482729781,0,-274.622285625288,364.329520057582,0.334855712930055,-86.2388367667519,39.7913971084539
-266.990978958299,357.526916161878,0,-281.988343538943,357.245747822192,0,-274.490048538735,357.386324731178,0.334855533275468,-86.2388352188624,39.7913346569957
-266.862866165291,350.578975439819,0,-281.860402762447,350.307137221435,0,-274.362036171346,350.443049049468,0.334855355793914,-86.238833720425,39.7912722048148
-266.739166954149,343.630749203962,0,-281.736876921584,343.368650496055,0,-274.238438063308,343.499692577836,0.334855179860677,-86.2388322736583,39.7912097519072
-266.620071262893,336.682237261957,0,-281.617955156863,336.430287459465,0,-274.119443752362,336.556255128018,0.334855004957855,-86.238830880781,39.7911472982712
-266.505769046472,329.73343972078,0,-281.503826592163,329.492048221066,0,-274.005242778647,329.612736809369,0.334854830768842,-86.2388295440117,39.7910848439078
-266.396450275676,322.784357027278,0,-281.394680333651,322.55393322629,0,-273.896024679766,322.669138069221,0.334854657067731,-86.2388282655689,39.7910223888211
-266.292304935639,315.834990001379,0,-281.290705468294,315.615943289313,0,-273.791978992233,315.725459725795,0.334854483704451,-86.2388270476714,39.7909599330184
-266.193523023946,308.885339862557,0,-281.192091061976,308.678079618991,0,-273.693295246406,308.781702994452,0.33485431057792,-86.2388258925376,39.7908974765106
-266.100294548431,301.935408253955,0,-281.099026157316,301.740343842444,0,-273.600162441784,301.837869518335,0.334854145933362,-86.2388248023798,39.7908350193125
